"osf","id","paper","experiment","effect","internalReplication","resulto","resultr","smdo","so","smdr","sr","effectType","ESo","seESo","lowerESo","upperESo","po","ESr","seESr","lowerESr","upperESr","pr","no","nr"
"https://osf.io/pgjhx/","(9, 2, 6, 1)",9,2,6,1,"Null","Negative",0.1510626,0.472148216650605,-1.471981,0.537427349843465,"Cohen's w",0.03325293,0.0727393,-0.108868,0.1740417,0.7527726,-0.5962971,0.0727393,-0.6804479,-0.496624,0.006562441,18,18
"https://osf.io/pgjhx/","(9, 2, 6, 2)",9,2,6,2,"Null","Positive",0.1510626,0.472148216650605,1.793741,0.56666564220599,"Cohen's w",0.03325293,0.0727393,-0.108868,0.1740417,0.7527726,0.6131651,0.0727393,0.516395,0.6944728,0.001555903,18,18
"https://osf.io/pgjhx/","(9, 2, 6, 3)",9,2,6,3,"Null","Negative",0.1510626,0.472148216650605,-1.469347,0.537206019245852,"Cohen's w",0.03325293,0.0727393,-0.108868,0.1740417,0.7527726,-0.3245137,0.0727393,-0.445643,-0.1917155,0.006639749,18,18
"https://osf.io/pgjhx/","(9, 3, 1, 1)",9,3,1,1,"Positive","Null-negative",1.072384,0.831927531761581,-0.16,0.708546438074419,"Cohen's w",0.999,0.1601282,0.9981275,0.9994661,0.2192582,-0.0511812,0.1856953,-0.3928639,0.3029188,0.8284997,7,8
"https://osf.io/pgjhx/","(9, 3, 2, 1)",9,3,2,1,"Positive","Null-positive",1.127193,0.775331670370775,0.8191387,0.743922368727691,"Cohen's w",0.7359363,0.1490712,0.5712537,0.8436579,0.162025,0.3219337,0.1856953,-0.03014416,0.60294343,0.2907067,8,8
"https://osf.io/xu1g2/","(15, 1, 1, 1)",15,1,1,1,"Positive","Null-negative",7.409639,3.44133703639602,-0.3177959,0.71782364936168,"Glass' delta",7.409639,3.793725,0.8898267,14.37962,0.0154218,-0.3177959,0.7189105,-1.700543,1.113274,0.7365876,6,8
"https://osf.io/xu1g2/","(15, 2, 1, 1)",15,2,1,1,"Positive","Null-positive",1.610345,0.582812928712087,0.2240333,0.538247237358071,"Glass' delta",1.610345,0.5865725,0.4425053,2.72709,0.0005879201,0.2240333,0.5384207,-0.8398834,1.270007,0.825914,20,14
"https://osf.io/xu1g2/","(15, 2, 2, 1)",15,2,2,1,"Null","Null-positive",0.1047,0.387532631207121,0.764,0.477687349045707,"r",0.0599781834272062,0.1924501,-0.306923124121222,0.411358647624549,0.9525123,0.395173362769287,0.2357023,-0.0440234213059762,0.706361197121812,0.2333175,30,21
"https://osf.io/xu1g2/","(15, 3, 1, 1)",15,3,1,1,"Positive","Null-positive",2.298168,0.586952367020135,0.2512344,0.580005810804106,"Cohen's d",2.298168,0.6206721,1.129156,3.429967,2.097435e-05,0.2512344,0.6354425,-0.8916921,1.3818889,0.669649,20,12
"https://osf.io/8l4ea/","(16, 3, 1, 1)",16,3,1,1,"Positive","Positive",8.404241,2.86890985974905,2.234498,0.995895468180278,"Cohen's d",8.404241,2.695019,2.83925,14.08517,4.721315e-05,2.234498,0.9349454,0.2632168,4.1670553,0.02087446,5,4
"https://osf.io/8l4ea/","(16, 3, 2, 1)",16,3,2,1,"Positive","Positive",6.745624,1.68341001468671,4.595493,1.82929305246462,"Cohen's d",6.745624,1.624525,3.446096,10.044942,3.713804e-08,4.595493,1.699947,1.053507,8.224204,0.002723826,9,4
"https://osf.io/8l4ea/","(16, 3, 3, 1)",16,3,3,1,"Positive","Positive",4.361155,0.885809644307023,3.086355,0.879662592577995,"Cohen's d",4.361155,0.8664309,2.617673,6.089983,4.863977e-10,3.086355,0.8487339,1.349622,4.797836,5.199887e-05,14,8
"https://osf.io/7zqxp/","(19, 1, 1, 1)",19,1,1,1,"Positive","Positive",2.482988,1.62790261717424,17.40596,5.71325880900194,"Cohen's dz",2.482988,1.428743,-0.5946068,5.7866542,0.1766213,17.40596,5.522385,6.015823,28.411386,2.603218e-06,2,5
"https://osf.io/7zqxp/","(19, 1, 2, 1)",19,1,2,1,"Positive","Positive",2.411988,1.59173537095995,11.224173,3.7010504056289,"Cohen's dz",2.411988,1.398006,-0.605721,5.633767,0.1815468,11.224173,3.577458,3.841858,18.349709,1.496275e-05,2,5
"https://osf.io/7zqxp/","(19, 2, 1, 1)",19,2,1,1,"Positive","Positive",0.560079972206537,0.116697516432306,0.247830780338513,0.104112768125307,"Hazard ratio",25.92992,1.592021,5.484926,122.583391,3.999499e-05,3.754594,2.925704,1.193745,11.809033,0.02364086,19,24
"https://osf.io/7zqxp/","(19, 2, 2, 1)",19,2,2,1,"Positive","Null-positive",2.297534,0.603241186739183,0.557773,0.493289676558463,"Cohen's d",2.297534,0.6398966,1.09556,3.460222,0.0001094824,0.557773,0.523378,-0.417364,1.516296,0.2655945,19,18
"https://osf.io/7yqmp/","(20, 1, 1, 1)",20,1,1,1,"Null","Null-negative",0.1874,0.353628946994478,-0.2942,0.260259884377266,"r",0.1680213,0.1796053,-0.1803942,0.4789723,0.8689274,0.02751682,0.1313064,-0.225869,0.2774153,0.06442112,34,61
"https://osf.io/7yqmp/","(20, 1, 2, 1)",20,1,2,1,"Positive","Null-positive",2.563103,0.67216337156785,0.2914964,0.373766919075257,"Cliff's delta",0.8888889,0.1111111,0.469068,0.9810331,0.01267524,0.2076923,0.1416304,-0.07528094,0.45970759,0.1355357,18,36
"https://osf.io/7yqmp/","(20, 1, 3, 1)",20,1,3,1,"Null","Null-positive",0.6838845,0.495454308170812,0.645546,0.382446746936478,"Cliff's delta",0.4222222,0.2340503,-0.0821183,0.7544005,0.06234209,0.404,0.1442775,0.09630774,0.64121404,0.2635716,21,35
"https://osf.io/7yqmp/","(20, 1, 4, 1)",20,1,4,1,"Positive","Null-negative",0.8082212,0.403647162519497,-0.2267656,0.281040138668295,"Cliff's delta",0.4777778,0.2002604,0.03119762,0.76534551,0.01709515,-0.1984615,0.1559415,-0.4731837,0.1114388,0.2458221,27,51
"https://osf.io/7yqmp/","(20, 2, 1, 1)",20,2,1,1,"Positive","Null-positive",2.570485,0.785980922175725,0.3717114,0.575440395280871,"Cliff's delta",1,0.01636634,0.9176244,1,0.0008880629,0.05,0.4170474,-0.6029312,0.6628181,0.5277742,13,13
"https://osf.io/7yqmp/","(20, 2, 2, 1)",20,2,2,1,"Positive","Null-positive",1.779157,0.567704028633523,0.86635,0.544195688498991,"Cliff's delta",0.7,0.1812654,0.2140474,0.908207,0.001744839,0.5357143,0.2632541,-0.0736732,0.8538133,0.1180168,18,15
"https://osf.io/7yqmp/","(20, 2, 3, 1)",20,2,3,1,"Positive","Negative",1.56227849876529,0.407079233538016,-0.528774881680666,0.284805130227003,"Spearman's r",0.6766662,0.2132007,0.3842812,0.8456849,1.295973e-07,-0.5003121,0.2425356,-0.77192894,-0.07422445,0.03769116,25,20
"https://osf.io/hxrmm/","(21, 1, 1, 1)",21,1,1,1,"Positive","Positive",1.355951,0.650258614470961,0.928691,0.406724591006743,"Cohen's d",1.355951,0.7143642,0.05518853,2.60415546,0.04073944,0.928691,0.4229055,0.1232132,1.7175443,0.02357807,12,27
"https://osf.io/hxrmm/","(21, 1, 2, 1)",21,1,2,1,"Positive","Positive",3.004983,0.878577368555116,1.263148,0.608670485483413,"Cohen's d",3.004983,0.9704614,1.251697,4.695657,0.0003985327,1.263148,0.6462975,0.05315685,2.43910131,0.04057874,12,18
"https://osf.io/hxrmm/","(21, 1, 3, 1)",21,1,3,1,"Null","Null-negative",0.6081211,0.592739769283377,-0.181138,0.365942515095916,"Cohen's d",0.6081211,0.6497605,-0.5678437,1.7556535,0.31699,-0.181138,0.378794,-0.8967692,0.5376991,0.3849151,12,30
"https://osf.io/oblj1/","(24, 1, 1, 1)",24,1,1,1,"Positive","Null-negative",3.616474,1.23876255847108,-0.1249458,0.707984948165073,"Cohen's d",3.616474,1.455979,1.147255,6.003115,0.002190081,-0.1249458,0.8175581,-1.507507,1.267743,0.8655577,8,8
"https://osf.io/oblj1/","(24, 1, 2, 1)",24,1,2,1,"Null","Null-positive",0.9328917,0.754509578576279,0.6358212,0.729510930444743,"Cohen's d",0.9328917,0.8737077,-0.5789872,2.378636,0.2351748,0.6358212,0.8435552,-0.8181923,2.041438,0.4031949,8,8
